SURVEY:  PS1_HST_COMBINED(CANDELS)
SNID: colfax 
IAUC: UNKNOWN
CID: colfax
SNTYPE: 0
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJKL  # BGVRXIZSTUCWYMJNHLOPQ -> abcdefghijklmnopqrstu
RA:   189.156590 deg
DECL:    62.309172 deg
MAGREF:  AB
MWEBV:   0.012    MW E(B-V)
REDSHIFT_HELIO: 2.26 +- 0.02 
REDSHIFT_CMB: 2.2612947 +- 0.02 
VPEC: -7.2661 +- 250.0
REDSHIFT_STATUS: OK
SEARCH_PEAKMJD: 56074.300
SEARCH_PEAKMJDERR: 5.0
PIXSIZE:  0.2  # arcSeconds


NOBS: 33
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56069.98        c   colfax   -0.269    0.285      27.669   -9.000   26.493
OBS: 56016.29        f   colfax    0.192    0.240      29.293    1.356   25.947
OBS: 56074.61        f   colfax    0.003    0.317      33.717  105.568   25.947
OBS: 56116.49        f   colfax   -0.071    0.096      28.855   -9.000   25.947
OBS: 56128.42        f   colfax   -0.207    0.108      28.726   -9.000   25.947
OBS: 56180.92        f   colfax    0.166    0.154      29.451    1.005   25.947
OBS: 56186.47        f   colfax   -0.191    0.119      28.615   -9.000   25.947
OBS: 56200.16        f   colfax   -0.105    0.129      28.533   -9.000   25.947
OBS: 56152.07        g   colfax    0.043    0.323      30.916    8.162   24.857
OBS: 56018.628 o NULL -0.0158073 0.226467 -99 -14.326713
OBS: 56074.305 o NULL 3.87706 0.463917 26.0287 0.11965667
OBS: 56084.685 o NULL 3.60947 0.478982 26.1064 0.13270134
OBS: 56103.172 o NULL 2.81819 0.487742 26.3751 0.17306958
OBS: 56129.454 o NULL 0.857546 0.319042 27.6669 0.37204017
OBS: 56145.532 o NULL 0.714822 0.332674 27.8645 0.46539354
OBS: 56183.129 o NULL -0.0111493 0.227948 -99 -20.445037
OBS: 56241.974 o NULL 4.04620e-20 0.245791 75.9824 6.0746169e+18
OBS: 56297.690 o NULL 0.0451390 0.238957 30.8636 5.2938063
OBS: 56084.763 s NULL 5.36258 0.622767 25.6766 0.11613182
OBS: 56082.777 t NULL 5.60987 0.852176 25.6276 0.15190646
OBS: 56083.095 p NULL 5.08545 0.484938 25.7342 0.095357806
OBS: 56091.533 p NULL 4.86340 0.747573 25.7826 0.15371412
OBS: 56104.231 p NULL 3.54815 0.784595 26.1250 0.22112805
OBS: 56085.627 u NULL 4.82495 0.891155 25.7913 0.18469721
OBS: 56018.635 q NULL -0.0484331 0.762809 -99 -15.749755
OBS: 56074.312 q NULL 5.73456 0.722642 25.6038 0.12601531
OBS: 56084.645 q NULL 4.24166 0.647295 25.9312 0.15260418
OBS: 56103.164 q NULL 3.76891 0.648547 26.0595 0.17207837
OBS: 56129.379 q NULL 1.69399 0.515209 26.9277 0.30413964
OBS: 56145.470 q NULL 2.39103 0.627513 26.5535 0.26244434
OBS: 56183.136 q NULL 1.17683 0.623101 27.3232 0.52947305
OBS: 56241.981 q NULL 0.277842 1.20960 28.8905 4.3535598
OBS: 56297.697 q NULL -0.0978803 0.922365 -99 -9.4233969
END:
