SURVEY:  PS1_LOWZ_COMBINED(CFA4p1)
PHOTOMETRY_VERSION: CFA4
SNTYPE: 1
SNID: 2007rx 
IAUC: 2007rx
RA:   355.048920 deg
DECL:    27.421250 deg 
RA_HOST:   355.050210
DEC_HOST:    27.420060
MWEBV: 0.089000000 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.0323 +- 0.004 
REDSHIFT_CMB: 0.0311163 +- 0.004 
VPEC: -354.3394 +- 250.0
HOSTGAL_LOGMASS: 9.80000 +- 0.079
PRIVATE(COSMO): 1
FILTERS: abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> klmno
SEARCH_PEAKMJD: 54439.898
NOBS: 50
NVAR:   6
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS:      54456.2     l      md      17362.0    1137.21    16.9010    0.0655000
OBS:      54461.2     l      md      8379.16    568.107    17.6920    0.0678000
OBS:      54462.2     l      md      8162.06    297.915    17.7205    0.0365000
OBS:      54463.1     l      md      7666.55    285.962    17.7885    0.0373000
OBS:      54465.1     l      md      6489.34    286.829    17.9695    0.0442000
OBS:      54468.1     l      md      5130.97    276.046    18.2245    0.0538000
OBS:      54470.1     l      md      4535.24    190.027    18.3585    0.0419000
OBS:      54477.2     l      md      2986.76    258.056    18.8120    0.0864000
OBS:      54479.1     l      md      2792.54    285.398    18.8850    0.102200
OBS:      54485.1     l      md      2872.10    211.387    18.8545    0.0736000
OBS:      54486.1     l      md      2506.11    674.645    19.0025    0.269200
OBS:      54456.2     m      md      19824.4    941.659    16.7570    0.0475000
OBS:      54457.1     m      md      18365.4    394.856    16.8400    0.0215000
OBS:      54458.2     m      md      17466.3    356.312    16.8945    0.0204000
OBS:      54461.2     m      md      14873.0    428.344    17.0690    0.0288000
OBS:      54462.2     m      md      14374.7    319.119    17.1060    0.0222000
OBS:      54463.1     m      md      14243.0    296.254    17.1160    0.0208000
OBS:      54465.1     m      md      12676.5    273.813    17.2425    0.0216000
OBS:      54468.1     m      md      10636.5    292.504    17.4330    0.0275000
OBS:      54470.1     m      md      10120.5    281.349    17.4870    0.0278000
OBS:      54477.1     m      md      7201.11    233.316    17.8565    0.0324000
OBS:      54479.1     m      md      6561.45    234.900    17.9575    0.0358000
OBS:      54485.1     m      md      5236.01    303.165    18.2025    0.0579000
OBS:      54486.1     m      md      5571.86    362.728    18.1350    0.0651000
OBS:      54456.2     n      md      18450.2    690.036    16.8350    0.0374000
OBS:      54457.1     n      md      18993.3    377.966    16.8035    0.0199000
OBS:      54458.2     n      md      17571.1    358.451    16.8880    0.0204000
OBS:      54461.2     n      md      17155.4    320.806    16.9140    0.0187000
OBS:      54462.2     n      md      16017.7    378.017    16.9885    0.0236000
OBS:      54463.1     n      md      15516.7    294.818    17.0230    0.0190000
OBS:      54465.1     n      md      15303.8    310.668    17.0380    0.0203000
OBS:      54468.1     n      md      13918.7    296.469    17.1410    0.0213000
OBS:      54470.1     n      md      13231.2    258.009    17.1960    0.0195000
OBS:      54477.1     n      md      9926.59    232.282    17.5080    0.0234000
OBS:      54479.1     n      md      8920.72    222.126    17.6240    0.0249000
OBS:      54485.1     n      md      7426.77    221.318    17.8230    0.0298000
OBS:      54486.1     n      md      6552.40    267.993    17.9590    0.0409000
OBS:      54456.2     o      md      13627.0    532.816    17.1640    0.0391000
OBS:      54457.1     o      md      13765.8    356.533    17.1530    0.0259000
OBS:      54458.2     o      md      13225.1    320.048    17.1965    0.0242000
OBS:      54461.2     o      md      12583.5    320.878    17.2505    0.0255000
OBS:      54462.2     o      md      13031.7    350.552    17.2125    0.0269000
OBS:      54463.1     o      md      12894.4    300.439    17.2240    0.0233000
OBS:      54465.1     o      md      13025.7    354.299    17.2130    0.0272000
OBS:      54468.1     o      md      12717.5    298.860    17.2390    0.0235000
OBS:      54470.1     o      md      12331.1    330.473    17.2725    0.0268000
OBS:      54477.1     o      md      10685.6    243.633    17.4280    0.0228000
OBS:      54479.1     o      md      9876.43    289.379    17.5135    0.0293000
OBS:      54485.1     o      md      8279.42    266.597    17.7050    0.0322000
OBS:      54486.1     o      md      7450.75    248.855    17.8195    0.0334000
END: 
